dajiexiongzheng 大结胸证
daju 大巨
daling 大陵
dalizi 大力子
damai 大脉
danai 胆癌
danbai 淡白
dandan 胆疸 胆瘅
dandaopaishitang 胆道排石汤
dandaoquhuitang 胆道驱蛔汤
dandouchi 淡豆豉
dandougu 淡豆鼓
danfan 胆矾
danggui 当归
dangguibuxuetang 当归补血汤
dangguidihuangwan 当归地黄丸
dangguijianzhongtang 当归建中汤
dangguijixuetengtang 当归鸡血藤汤
dangguiliuhuangtang 当归六黄汤
dangguilonghuiwan 当归龙荟丸
dangguiniantongtang 当归拈痛汤
dangguisan 当归散
dangguishaoyaosan 当归芍药散
dangguishengjiangyangroutang 当归生姜羊肉汤
dangguisinijiawuzhuyushengjiangtang 当归四逆加吴茱萸生姜汤
dangguisinitang 当归四逆汤
dangguiyinzi 当归饮子
dangshen 党参
dangyang 当阳
dangyao 当药
danhuangsinisan 丹黄四逆散
danmu 胆木
dannang 胆囊
dannanxing 胆南星
dannue 瘅疟
danqing 淡青
danqixuzhengdanrepihan 胆气虚证胆热脾寒
danrezheng 胆热证
danshen 丹参
danshengke 单声咳
danshenyin 丹参饮
danshi 胆石
danyu 胆俞
danyutanraozheng 胆郁痰扰证
danzhang 胆胀
danzhi 胆汁
danzhixiaoyaosan 丹栀逍遥散
danzhuye 淡竹叶
daochisan 导赤散
daodou 刀豆
daohan 盗汗
daokoucao 倒扣草
daoqitang 导气汤
daoshuiwan 导水丸
daotantang 导痰汤
daoya 稻芽
daqianghuotang 大羌活汤
daqinglongtang 大青龙汤
daqingye 大青叶
daqinjiaotang 大秦艽汤
darouxiaxian 大肉下陷
dasuan 大蒜
datouchen 大头陈
daxianxiongtang 大陷胸汤
daxianxiongwan 大陷胸丸
daxueteng 大血藤
daying 大迎
dayuanyin 达原饮
dayun 大芸
dazao 大枣
dazhong 大钟
dazhu 大杼
dazhui 大椎
dengtaixixin 灯台细辛
dengtaiye 灯台叶
dengxincao 灯心草
dewenzejian 得温则减
dianbing 癫病
diankuangbing 癫狂病
dianqiecao 颠茄草
diburong 地不容
dicang 地仓
didancao 地胆草
didangtang 抵当汤
didangwan 抵当丸
diedawan 跌打丸
diercao 地耳草
difengpi 地枫皮
difuzi 地肤子
digupi 地骨皮
digupitang 地骨皮汤
dihuang 地黄
dihuangwan 地黄丸
dihuangyinzi 地黄饮子
diji 地机
dijiao 地椒
dijincao 地锦草
dilong 地龙
dingchuan 定喘
dingchuang 疔疮
dingchuantang 定喘汤
dinggongteng 丁公藤
dingguicao 丁癸草
dingjie 疔疖
dingxiang 丁香
dingxiangjiaoaitang 丁香胶艾汤
dingxiangshiditang 丁香柿蒂汤
dingxianwan 定痫丸
dingzhiwan 定志丸
ditanhuazhuo 涤痰化浊
ditantang 涤痰汤
diulebang 丢了棒
diwuhui 地五会
diyu 地榆
diyusan 地榆散
dongchongxiacao 冬虫夏草
dongguapi 冬瓜皮
dongguazi 冬瓜子
dongkuiguo 冬葵果
donglingcao 冬凌草
dongmai 动脉
doukou 豆蔻
duanmai 短脉
duanqi 短气
duanshigao 煅石膏
duanxueliu 断血流
dubi 犊鼻
ducantang 独参汤
duheng 杜衡
duhuo 独活
duhuojishengtang 独活寄生汤
duice 对侧
